
=== Running tests for molecule: formaldehyde ===
Running with Naux = 800
read ../MA_best/Simulate_CWNO/CWNO_final_tilde.dat
Starting Davidson with n_aux = 800, l_buffer = 2600, lc = 2010, thresh = 0.0001, max_iter = 100
Iter 1: V_size = 200, Converged = 0, ‖r‖ (largest λ) = 0.17290274051870105
Iter 2: V_size = 400, Converged = 0, ‖r‖ (largest λ) = 0.0002952682276775669
Iter 3: V_size = 600, Converged = 16, ‖r‖ (largest λ) = 4.25800625008437e-7
Iter 4: V_size = 800, Converged = 160, ‖r‖ (largest λ) = 4.346817986521291
Iter 5: V_size = 256, Converged = 204, ‖r‖ (largest λ) = 2.856965678273826e-6
Iter 6: V_size = 456, Converged = 204, ‖r‖ (largest λ) = 2.8453851552545806
Iter 7: V_size = 656, Converged = 204, ‖r‖ (largest λ) = 0.028535759598764726
Iter 8: V_size = 400, Converged = 204, ‖r‖ (largest λ) = 0.004229757137205984
Iter 9: V_size = 600, Converged = 204, ‖r‖ (largest λ) = 0.0005857977581710587
Iter 10: V_size = 800, Converged = 223, ‖r‖ (largest λ) = 6.069750083316138e-5
Iter 11: V_size = 381, Converged = 346, ‖r‖ (largest λ) = 1.765689896013418e-5
Iter 12: V_size = 581, Converged = 346, ‖r‖ (largest λ) = 3.6670342868480903
Iter 13: V_size = 781, Converged = 384, ‖r‖ (largest λ) = 3.961975896600722e-6
Iter 14: V_size = 362, Converged = 397, ‖r‖ (largest λ) = 3.864888680015865e-5
Iter 15: V_size = 562, Converged = 399, ‖r‖ (largest λ) = 1.3204757825453481
Iter 16: V_size = 762, Converged = 403, ‖r‖ (largest λ) = 0.8076275409938065
Iter 17: V_size = 396, Converged = 404, ‖r‖ (largest λ) = 5.304498194639441e-5
Iter 18: V_size = 596, Converged = 406, ‖r‖ (largest λ) = 0.5489201703103209
Iter 19: V_size = 796, Converged = 460, ‖r‖ (largest λ) = 0.6595048314269273
Iter 20: V_size = 346, Converged = 511, ‖r‖ (largest λ) = 7.525314747241757e-5
Iter 21: V_size = 546, Converged = 511, ‖r‖ (largest λ) = 1.7544373558868087
Iter 22: V_size = 746, Converged = 538, ‖r‖ (largest λ) = 4.600523480311701e-5
Iter 23: V_size = 373, Converged = 546, ‖r‖ (largest λ) = 5.589516974444348e-5
Iter 24: V_size = 573, Converged = 549, ‖r‖ (largest λ) = 1.0594004517003923
Iter 25: V_size = 773, Converged = 563, ‖r‖ (largest λ) = 0.7748660136650999
Iter 26: V_size = 386, Converged = 580, ‖r‖ (largest λ) = 5.2642060834675576e-5
Iter 27: V_size = 586, Converged = 593, ‖r‖ (largest λ) = 1.076464998489589
Iter 28: V_size = 786, Converged = 596, ‖r‖ (largest λ) = 1.1638091539636921
Iter 29: V_size = 397, Converged = 603, ‖r‖ (largest λ) = 4.780909624788203e-5
Iter 30: V_size = 597, Converged = 615, ‖r‖ (largest λ) = 0.8077821001154426
